name,alt,nps,kgm,od,thk,sch,profileCode,code
CHS 8 SCH ,,8,49.24630359,219.08,9.53,,CHS,ASME B36.10M
CHS 8 SCH 60,,8,53.07864514,219.08,10.31,60,CHS,ASME B36.10M
CHS 8 SCH 80,CHS 8 SCH XS,8,64.63450116,219.08,12.7,80(XS),CHS,ASME B36.10M
CHS 8 SCH ,,8,72.07227034,219.08,14.27,,CHS,ASME B36.10M
CHS 8 SCH 100,,8,75.8620512,219.08,15.08,100,CHS,ASME B36.10M
CHS 8 SCH ,,8,79.57328256,219.08,15.88,,CHS,ASME B36.10M
CHS 8 SCH 120,,8,90.42755911,219.08,18.26,120,CHS,ASME B36.10M
CHS 8 SCH 140,,8,100.9147666,219.08,20.62,140,CHS,ASME B36.10M
CHS 8 SCH XXS,,8,107.9115558,219.08,22.23,XXS,CHS,ASME B36.10M
CHS 8 SCH 160,,8,111.2553335,219.08,23.01,160,CHS,ASME B36.10M
CHS 8 SCH ,,8,121.3141795,219.08,25.4,,CHS,ASME B36.10M
CHS 10 SCH 5,,10,22.6043424,273,3.4,5,CHS,ASME B36.10M
CHS 10 SCH ,,10,26.27272454,273,3.96,,CHS,ASME B36.10M
CHS 10 SCH 10,,10,27.77490077,273,4.19,10,CHS,ASME B36.10M
CHS 10 SCH ,,10,31.61637886,273,4.78,,CHS,ASME B36.10M
CHS 10 SCH ,,10,36.66859142,273,5.56,,CHS,ASME B36.10M
CHS 10 SCH 20,,10,41.75499015,273,6.35,20,CHS,ASME B36.10M
CHS 10 SCH 30,,10,51.0106896,273,7.8,30,CHS,ASME B36.10M
CHS 10 SCH 40,CHS 10 SCH STD,10,60.28820329,273,9.27,40(STD),CHS,ASME B36.10M
CHS 10 SCH 60,CHS 10 SCH XS,10,81.5212746,273,12.7,60(XS),CHS,ASME B36.10M
CHS 10 SCH 80,,10,95.97331445,273,15.09,80,CHS,ASME B36.10M
CHS 10 SCH 100,,10,114.7072822,273,18.26,100,CHS,ASME B36.10M
CHS 10 SCH 120,,10,132.8321233,273,21.41,120,CHS,ASME B36.10M
CHS 10 SCH 140,CHS 10 SCH XXS,10,155.0877264,273,25.4,140(XXS),CHS,ASME B36.10M
CHS 10 SCH 160,,10,172.263012,273,28.58,160,CHS,ASME B36.10M
CHS 12 SCH 5,,12,31.25305814,324,3.96,5,CHS,ASME B36.10M
CHS 12 SCH 10,,12,35.99854717,324,4.57,10,CHS,ASME B36.10M
CHS 12 SCH 20,,12,49.74113115,324,6.35,20,CHS,ASME B36.10M
CHS 12 SCH 30,,12,65.2231255,324,8.38,30,CHS,ASME B36.10M
CHS 12 SCH STD,,12,73.90353181,324,9.53,STD,CHS,ASME B36.10M
CHS 12 SCH 40,,12,79.75398857,324,10.31,40,CHS,ASME B36.10M
CHS 12 SCH XS,,12,97.4935566,324,12.7,XS,CHS,ASME B36.10M
CHS 12 SCH 60,,12,108.9934295,324,14.27,60,CHS,ASME B36.10M
CHS 12 SCH 80,,12,132.1275303,324,17.48,80,CHS,ASME B36.10M
CHS 12 SCH 100,,12,159.9666186,324,21.44,100,CHS,ASME B36.10M
CHS 12 SCH 120,CHS 12 SCH XXS,12,187.0322904,324,25.4,120(XXS),CHS,ASME B36.10M
CHS 12 SCH 140,,12,208.1411296,324,28.57,140,CHS,ASME B36.10M
CHS 12 SCH 160,,12,238.8433844,324,33.32,160,CHS,ASME B36.10M
CHS 14 SCH 5,,14,34.37797334,356,3.96,5,CHS,ASME B36.10M
CHS 14 SCH 10,,14,54.75204315,356,6.35,10,CHS,ASME B36.10M
CHS 14 SCH 20,,14,67.98253018,356,7.92,20,CHS,ASME B36.10M
CHS 14 SCH 30,CHS 14 SCH STD,14,81.42384541,356,9.53,30(STD),CHS,ASME B36.10M
CHS 14 SCH 40,,14,94.65502045,356,11.13,40,CHS,ASME B36.10M
CHS 14 SCH XS,,14,107.5153806,356,12.7,XS,CHS,ASME B36.10M
CHS 14 SCH 60,,14,126.8592247,356,15.09,60,CHS,ASME B36.10M
CHS 14 SCH 80,,14,158.2900124,356,19.05,80,CHS,ASME B36.10M
CHS 14 SCH 100,,14,195.1989697,356,23.83,100,CHS,ASME B36.10M
CHS 14 SCH 120,,14,224.9227725,356,27.79,120,CHS,ASME B36.10M
CHS 14 SCH 140,,14,253.8731588,356,31.75,140,CHS,ASME B36.10M
CHS 14 SCH 160,,14,282.0501285,356,35.71,160,CHS,ASME B36.10M
CHS 16 SCH 5,,16,41.51717897,406,4.19,5,CHS,ASME B36.10M
CHS 16 SCH 10,,16,62.58159315,406,6.35,10,CHS,ASME B36.10M
CHS 16 SCH 20,,16,77.74789018,406,7.92,20,CHS,ASME B36.10M
CHS 16 SCH 30,CHS 16 SCH STD,16,93.17433541,406,9.53,30(STD),CHS,ASME B36.10M
CHS 16 SCH 40,CHS 16 SCH XS,16,123.1744806,406,12.7,40(XS),CHS,ASME B36.10M
CHS 16 SCH 60,,16,159.9547325,406,16.66,60,CHS,ASME B36.10M
CHS 16 SCH 80,,16,203.3208714,406,21.44,80,CHS,ASME B36.10M
CHS 16 SCH 100,,16,245.2985414,406,26.19,100,CHS,ASME B36.10M
CHS 16 SCH 120,,16,286.3331389,406,30.96,120,CHS,ASME B36.10M
CHS 16 SCH 140,,16,332.8295862,406,36.53,140,CHS,ASME B36.10M
CHS 16 SCH 160,,16,364.9556675,406,40.49,160,CHS,ASME B36.10M
CHS 18 SCH 5,,18,46.78677437,457,4.19,5,CHS,ASME B36.10M
CHS 18 SCH 10,,18,70.56773415,457,6.35,10,CHS,ASME B36.10M
CHS 18 SCH 20,,18,87.70855738,457,7.92,20,CHS,ASME B36.10M
CHS 18 SCH STD,,18,105.1598352,457,9.53,STD,CHS,ASME B36.10M
CHS 18 SCH 30,,18,122.3760662,457,11.13,30,CHS,ASME B36.10M
CHS 18 SCH XS,,18,139.1467626,457,12.7,XS,CHS,ASME B36.10M
CHS 18 SCH 40,,18,155.7958901,457,14.27,40,CHS,ASME B36.10M
CHS 18 SCH 60,,18,205.7370854,457,19.05,60,CHS,ASME B36.10M
CHS 18 SCH 80,,18,254.5513975,457,23.83,80,CHS,ASME B36.10M
